Name,Year,tmdb_id,genres,release_year,director,runtime,countries
Silver Linings Playbook,2012,82693,"['Drama', 'Comedy', 'Romance']",2012,David O. Russell,122,['US']
San Andreas,2015,254128,"['Action', 'Drama', 'Thriller']",2015,Brad Peyton,114,"['CA', 'US', 'AU']"
Father of the Bride,1991,11846,"['Comedy', 'Romance']",1991,Charles Shyer,105,['US']
Mean Girls,2024,10625,"['Drama', 'Comedy']",2004,Mark Waters,97,['US']
Ratatouille,2007,2062,"['Animation', 'Comedy', 'Family', 'Fantasy']",2007,Brad Bird,111,['US']
Ice Age,2002,425,"['Animation', 'Comedy', 'Family', 'Adventure']",2002,Chris Wedge,81,['US']
How to Train Your Dragon,2010,10191,"['Fantasy', 'Adventure', 'Animation', 'Family']",2010,Chris Sanders,98,['US']
Finding Nemo,2003,12,"['Animation', 'Family']",2003,Andrew Stanton,100,['US']
Toy Story,1995,862,"['Animation', 'Adventure', 'Family', 'Comedy']",1995,John Lasseter,81,['US']
Bee Movie,2007,5559,"['Family', 'Animation', 'Adventure', 'Comedy']",2007,Steve Hickner,91,['US']
Soul,2020,508442,"['Animation', 'Family', 'Comedy', 'Fantasy']",2020,Pete Docter,101,['US']
"Monsters, Inc.",2001,585,"['Animation', 'Comedy', 'Family']",2001,Pete Docter,92,['US']
Finding Dory,2016,127380,"['Adventure', 'Animation', 'Comedy', 'Family']",2016,Andrew Stanton,97,['US']
Toy Story 4,2019,301528,"['Family', 'Adventure', 'Animation', 'Comedy', 'Fantasy']",2019,Josh Cooley,100,['US']
The Good Dinosaur,2015,105864,"['Adventure', 'Animation', 'Family']",2015,Peter Sohn,93,['US']
Wreck-It Ralph,2012,82690,"['Family', 'Animation', 'Comedy', 'Adventure']",2012,Rich Moore,101,['US']
Ice Age: The Meltdown,2006,950,"['Animation', 'Family', 'Comedy', 'Adventure']",2006,Carlos Saldanha,91,['US']
Despicable Me 2,2013,93456,"['Animation', 'Comedy', 'Family']",2013,Pierre Coffin,98,['US']
The Boss Baby,2017,295693,"['Animation', 'Comedy', 'Family']",2017,Tom McGrath,97,['US']
Monsters University,2013,62211,"['Animation', 'Family']",2013,Dan Scanlon,104,['US']
Cars,2006,920,"['Animation', 'Adventure', 'Comedy', 'Family']",2006,John Lasseter,117,['US']
Raya and the Last Dragon,2021,527774,"['Animation', 'Family', 'Fantasy', 'Action', 'Adventure']",2021,Carlos López Estrada,107,['US']
Kung Fu Panda,2008,9502,"['Action', 'Adventure', 'Animation', 'Family', 'Comedy']",2008,Mark Osborne,90,['US']
Toy Story 3,2010,10193,"['Animation', 'Family', 'Comedy']",2010,Lee Unkrich,103,['US']
Toy Story 2,1999,863,"['Animation', 'Comedy', 'Family']",1999,John Lasseter,92,['US']
The Lego Movie,2014,137106,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",2014,Phil Lord,100,"['AU', 'DK', 'US']"
The Incredibles,2004,9806,"['Action', 'Adventure', 'Animation', 'Family']",2004,Brad Bird,115,['US']
Home,2015,228161,"['Fantasy', 'Comedy', 'Animation', 'Science Fiction', 'Family']",2015,Tim Johnson,94,['US']
Incredibles 2,2018,260513,"['Action', 'Adventure', 'Animation', 'Family']",2018,Brad Bird,118,['US']
Megamind,2010,38055,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",2010,Tom McGrath,96,['US']
Big Hero 6,2014,177572,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']",2014,Chris Williams,102,['US']
The Lego Batman Movie,2017,324849,"['Animation', 'Action', 'Comedy', 'Family']",2017,Chris McKay,104,"['AU', 'DK', 'US']"
How to Train Your Dragon 2,2014,82702,"['Fantasy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Family']",2014,Dean DeBlois,102,['US']
Ice Age: Dawn of the Dinosaurs,2009,8355,"['Animation', 'Comedy', 'Family', 'Adventure']",2009,Carlos Saldanha,94,['US']
Ice Age: Continental Drift,2012,57800,"['Animation', 'Comedy', 'Adventure', 'Family']",2012,Steve Martino,88,['US']
Ice Age: Collision Course,2016,278154,"['Adventure', 'Animation', 'Family', 'Comedy', 'Science Fiction']",2016,Mike Thurmeier,95,['US']
The Croods,2013,49519,"['Animation', 'Adventure', 'Family', 'Fantasy', 'Comedy', 'Action']",2013,Chris Sanders,98,['US']
The Secret Life of Pets,2016,328111,"['Family', 'Comedy', 'Adventure', 'Animation']",2016,Chris Renaud,86,['US']
Meet the Robinsons,2007,1267,"['Animation', 'Comedy', 'Family']",2007,Stephen J. Anderson,95,['US']
Bedtime Stories,2008,10202,"['Fantasy', 'Comedy', 'Family', 'Romance']",2008,Adam Shankman,99,['US']
Spy Kids,2001,10054,"['Family', 'Action', 'Comedy', 'Adventure']",2001,Robert Rodriguez,88,['US']
Spy Kids 3-D: Game Over,2003,12279,"['Family', 'Action', 'Comedy', 'Adventure', 'Science Fiction']",2003,Robert Rodriguez,84,['US']
Spy Kids 2: The Island of Lost Dreams,2002,9488,"['Family', 'Action', 'Adventure', 'Comedy', 'Science Fiction']",2002,Robert Rodriguez,100,['US']
Spy Kids: All the Time in the World,2011,56288,"['Family', 'Comedy', 'Action', 'Adventure', 'Drama', 'Fantasy', 'Science Fiction']",2011,Robert Rodriguez,89,['US']
Pirates of the Caribbean: The Curse of the Black Pearl,2003,22,"['Adventure', 'Fantasy', 'Action']",2003,Gore Verbinski,143,['US']
The Sound of Music,1965,15121,"['Drama', 'Family', 'Music', 'Romance']",1965,Robert Wise,174,['US']
Mary Poppins Returns,2018,400650,"['Fantasy', 'Family', 'Comedy']",2018,Rob Marshall,131,['US']
The Greatest Showman,2017,316029,['Drama'],2017,Michael Gracey,105,['US']
Annie,2014,196867,"['Comedy', 'Drama', 'Family']",2014,Will Gluck,118,['US']
La La Land,2016,313369,"['Comedy', 'Drama', 'Romance', 'Music']",2016,Damien Chazelle,129,['US']
Scott Pilgrim vs. the World,2010,22538,"['Action', 'Comedy', 'Romance']",2010,Edgar Wright,113,"['JP', 'GB', 'US']"
Inside Out 2,2024,1022789,"['Animation', 'Adventure', 'Comedy', 'Family']",2024,Kelsey Mann,97,['US']
Challengers,2024,937287,"['Drama', 'Romance']",2024,Luca Guadagnino,132,"['IT', 'US']"
The Idea of You,2024,843527,"['Romance', 'Drama', 'Comedy']",2024,Michael Showalter,116,['US']
Slumdog Millionaire,2008,12405,"['Drama', 'Romance']",2008,Danny Boyle,120,['GB']
Lion,2016,334543,['Drama'],2016,Garth Davis,118,"['AU', 'GB', 'US']"
Inside Out,2015,150540,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",2015,Pete Docter,95,['US']
Saltburn,2023,930564,"['Drama', 'Comedy', 'Thriller']",2023,Emerald Fennell,131,"['GB', 'US']"
Nope,2022,762504,"['Horror', 'Science Fiction', 'Thriller']",2022,Jordan Peele,130,['US']
Ocean's Eight,2018,402900,"['Crime', 'Comedy', 'Action']",2018,Gary Ross,111,['US']
Forrest Gump,1994,13,"['Comedy', 'Drama', 'Romance']",1994,Robert Zemeckis,142,['US']
Mr. & Mrs. Smith,2005,787,"['Action', 'Comedy', 'Drama', 'Thriller']",2005,Doug Liman,119,"['CH', 'US']"
The Lion King,1994,8587,"['Family', 'Animation', 'Drama']",1994,Roger Allers,89,['US']
